I,Qc,Qd,Qdlin,T,Tdlin,V,dQdV,t,cycle
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.252364764,1.26E-06,0,-0.000296187,31.342606,29.1654371,2.0351315,0,0.002565,88
0.3960228,1.26E-06,0,-0.000259733,31.342606,29.16621999,2.0478811,0,0.002991667,88
0.504027282,1.26E-06,0,-0.00022515,31.342606,29.16680938,2.0597963,0,0.003311667,88
0.611802018,1.26E-06,0,-0.00019222,31.342606,29.16722773,2.0736618,0,0.003658333,88
0.684084455,1.26E-06,0,-0.000160727,31.342606,29.16749746,2.083745,0,0.003871667,88
0.7919615,1.26E-06,0,-0.000130453,31.342606,29.16764103,2.1006002,0,0.004168333,88
0.863604982,1.26E-06,0,-0.000101182,31.342606,29.16768088,2.1126747,0,0.00438,88
0.935781636,1.26E-06,0,-7.27E-05,31.342606,29.16763945,2.1253538,0,0.004623333,88
1.007469364,1.26E-06,0,-4.48E-05,31.342606,29.16753919,2.1384888,0,0.004845,88
1.079773455,1.26E-06,0,-1.72E-05,31.342606,29.16740253,2.1523342,0,0.004978333,88
1.151677,1.26E-06,0,1.02E-05,31.342606,29.16725192,2.1665649,0,0.005245,88
1.223514727,1.26E-06,0,3.77E-05,31.342606,29.1671098,2.1815596,0,0.005485,88
1.295602091,1.26E-06,0,6.55E-05,31.342606,29.16699862,2.1968975,0,0.00575,88
1.403515545,1.26E-06,0,9.39E-05,31.342606,29.16694082,2.2204666,0,0.005991667,88
1.475528364,1.26E-06,0,0.000122926,31.342606,29.16695884,2.2367773,0,0.006151667,88
1.547549,1.26E-06,0,0.000152936,31.342606,29.16707513,2.2535505,0,0.0065,88
1.619376273,1.26E-06,0,0.000184113,31.342606,29.16731212,2.2702122,0,0.006713333,88
1.691351818,1.26E-06,0,0.000216655,31.342606,29.1676862,2.2872267,0,0.006926667,88
1.763649818,1.26E-06,0,0.000250514,31.342606,29.16813405,2.3045301,0,0.007045,88
1.835545636,1.26E-06,0,0.000285471,31.342606,29.16853624,2.3219872,0,0.007258333,88
1.943338545,1.26E-06,0,0.0003213,31.342606,29.16877217,2.3485126,-0.001861439,0.007563333,88
2.015331455,1.26E-06,0,0.000357777,31.342606,29.16872126,2.3663731,-0.005761,0.007805,88
2.087338182,1.26E-06,0,0.000394679,31.342606,29.1682629,2.3842936,-0.011698682,0.008018333,88
2.159162909,1.26E-06,0,0.000431782,31.342606,29.1672765,2.4020729,-0.019674487,0.008255,88
2.267293091,1.26E-06,0,0.00046891,31.342606,29.16566912,2.4283266,-0.029688413,0.008523333,88
2.375636545,1.26E-06,0,0.000506152,31.342606,29.16349157,2.4541245,-0.041740462,0.008818333,88
2.447444727,0.000198937,0,0.000543677,31.342606,29.16084112,2.4708891,-0.055196405,0.009111667,88
2.519198364,0.000198937,0,0.000581657,31.342606,29.1578151,2.4871063,-0.066607698,0.009276667,88
2.591560545,0.000198937,0,0.000620262,31.342606,29.15451082,2.5027227,-0.075974341,0.009525,88
2.663375636,0.000198937,0,0.000659663,31.342606,29.15102562,2.5174904,-0.081434894,0.009738333,88
2.771448636,0.000198937,0,0.000700032,31.342606,29.14745679,2.5382223,-0.082812675,0.009991667,88
