Job Name,SubmittedBy,LPAR,Purge Count,Total Count,Job Contact Details,
IFAHA203,EZC02STD,M1SB,906,909,View,double_arrow
IFAHA203,EZC02STD,M1SR,84,84,View,
IFAHA203,EZC02STD,M1SD,74,74,View,
IFAHA203,EZC02STD,M1SF,52,52,View,
AODJOUR?,CICEPA0,M1SF,12,12,View,
IXA00010,IXC00010,M1SB,6,6,View,
T8TRIG01,T8DSLUT0,M1SB,4,4,View,
EZCUDG01,EZC02STD,M1SB,4,4,View,
T8TRIG08,T8DSLUT8,M1SB,4,4,View,
OCDXZ026,OPPC,M1SF,3,37935,View,
IXA00090,IXC00090,M1SB,3,3,View,
T8TRIGFT,T8DSLUT2,M1SB,3,3,View,
QNKKGDG1,KNCXC200,M1SB,3,3,View,
T9TRIG08,T9DSLUT8,M1SR,3,3,View,
T9TRIG08,T9DSLUT8,M1SD,3,3,View,
T8TRIG08,T8DSLUT8,M1SD,3,3,View,
CATSHOST,CATSMVSB,M1SR,3,3,View,
CATSHOST,CATSMVSB,M1SF,3,3,View,
CATSHOST,CATSMVSB,M1SB,3,3,View,
G91598DB,DKVLVN01,M1SF,2,2,View,
ZVA00600,ZVDXC001,M1SB,2,2,View,
PMXCTOP1,PMDXCTOP,M1SR,2,2,View,
LUCXC590,LUCXC590,M1SD,2,2,View,
DUBJOBI0,BC7347,M1SF,2,2,View,
B0012300,KFDSEND1,M1SD,2,2,View,
WMCBO161,OPPT,M1SD,2,6,View,
T9TRIG01,T9DSLUT0,M1SF,2,2,View,
T8TRIG04,T8DSLUAH,M1SD,2,2,View,
ANDDBTRX,EBCSBM#R,M1SF,2,2,View,
ANDDBTRX,EBCSBM#R,M1SD,2,2,View,
T8TDURTR,T8DDURSL,M1SD,2,2,View,
T8TDURTR,T8DDURSL,M1SB,2,2,View,
QNKKGDG1,KNCBA200,M1SB,2,2,View,
T9TRIG08,T9DSLUT8,M1SB,2,2,View,
CATSHOST,CATSMVSB,M1SD,2,2,View,
ZUDUN097,OPPT,M1SF,1,4,View,
ZDCBS061,OPPT,M1SF,1,3,View,
WMDKN447,OPPT,M1SD,1,1,View,
T8TRIGFR,T8DSLUT1,M1SD,1,1,View,
RHC636FE,OPPT,M1SD,1,2,View,
OZC00021,OPPT,M1SB,1,2,View,
OCDXZ019,OPPC,M1SF,1,13344,View,
OCDADD01,EXC0NJ51,M1SB,1,42,View,
KECKB360,OPPT,M1SB,1,1,View,
FICR2912,OPPT,M1SD,1,1,View,
DKCOPCF0,OPPC,M1SF,1,5,View,
BVCDJ005,OPPT,M1SF,1,8,View,
BVCDJ003,OPPT,M1SD,1,8,View,
BVCAAD22,OPPT,M1SD,1,1,View,
BQCAHD0I,OPPT,M1SF,1,2,View,
BQCA2K0W,OPPT,M1SD,1,1,View,
